# claude — a handwritten pipeline-stress / coverage suite.
#
# This suite is for *testing the pp2lp pipeline*, not for staying green.  It
# deliberately spans the whole rule space (every PP family) and the whole
# proof-size span (one-rule leaves → 200+-rule proofs), AND it probes the known
# frontier: set-equality / equality-congruence, arithmetic antisymmetry and
# double-negation (AR4/AR7/AR8), INS over rewritten hyps, NAT membership, and
# existential/quantifier shapes REPLAY mishandles.  Authored by hand, grouped by
# what each section tests.
#
# INVARIANT: every goal is a genuine theorem submitted to PP as the BARE goal —
# no hypotheses, no goal-as-hypothesis self-promotion.  PP proves it outright,
# closing the goal's free variables universally and inferring their types from
# context.  A goal PP cannot prove produces no .trace and is rejected at gen time
# (see the guardrail in gen_traces), so it does not belong here.  (Mind PP's
# parser: `<=>` binds tighter than `&`, and `=>` is left-associative —
# parenthesise accordingly, e.g. `(a & b) <=> (b & a)`, `x<=y => (y<=x => x=y)`.)
#
# Format: name | kind | goal
#   prop  — bare identifiers are propositional variables
#   expr  — bare identifiers are expression variables (sets / functions / ints)
#
# `goals.txt` is the source of truth — regenerate with `pp2lp gen claude`,
# check with `pp2lp run claude`.  Coverage notes (→ RULE) are intended targets;
# measure actual firings from the generated `.replay` files.  Some goals are
# theorems pp2lp cannot yet *translate* (Farkas, AR4/AR7/AR8, …); those fail at
# the lambdapi-check stage, not at PP — a signal about the pipeline frontier.

# ════════════════════════════════════════════════════════════════════════
# A. Propositional connectives — AND / OR / NOT, tiny → medium  (AND*, OR*, NOT*)
# ════════════════════════════════════════════════════════════════════════

# leaves (1–3 rules)

# identity / idempotence
p_imp_self        | prop | a => a
gx_meetmem9                | expr | x: s1 & x: s2 & x: s3 & x: s4 & x: s5 & x: s6 & x: s7 & x: s8 & x: s9 => x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9
gx_meetmem10               | expr | x: s1 & x: s2 & x: s3 & x: s4 & x: s5 & x: s6 & x: s7 & x: s8 & x: s9 & x: s10 => x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10
gx_meetmem11               | expr | x: s1 & x: s2 & x: s3 & x: s4 & x: s5 & x: s6 & x: s7 & x: s8 & x: s9 & x: s10 & x: s11 => x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11
gx_meetmem12               | expr | x: s1 & x: s2 & x: s3 & x: s4 & x: s5 & x: s6 & x: s7 & x: s8 & x: s9 & x: s10 & x: s11 & x: s12 => x: s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 /\ s10 /\ s11 /\ s12
gx_leqchain3               | expr | x1 <= x2 & x2 <= x3 => x1 <= x3
gx_leqchain4               | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 => x1 <= x4
gx_leqchain5               | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 & x4 <= x5 => x1 <= x5
gx_leqchain6               | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 & x4 <= x5 & x5 <= x6 => x1 <= x6
gx_leqchain7               | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 & x4 <= x5 & x5 <= x6 & x6 <= x7 => x1 <= x7
gx_leqchain8               | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 & x4 <= x5 & x5 <= x6 & x6 <= x7 & x7 <= x8 => x1 <= x8
gx_leqchain9               | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 & x4 <= x5 & x5 <= x6 & x6 <= x7 & x7 <= x8 & x8 <= x9 => x1 <= x9
gx_leqchain10              | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 & x4 <= x5 & x5 <= x6 & x6 <= x7 & x7 <= x8 & x8 <= x9 & x9 <= x10 => x1 <= x10
gx_leqchain11              | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 & x4 <= x5 & x5 <= x6 & x6 <= x7 & x7 <= x8 & x8 <= x9 & x9 <= x10 & x10 <= x11 => x1 <= x11
gx_leqchain12              | expr | x1 <= x2 & x2 <= x3 & x3 <= x4 & x4 <= x5 & x5 <= x6 & x6 <= x7 & x7 <= x8 & x8 <= x9 & x9 <= x10 & x10 <= x11 & x11 <= x12 => x1 <= x12
gx_ltchain3                | expr | x1 < x2 & x2 < x3 => x1 < x3
gx_ltchain4                | expr | x1 < x2 & x2 < x3 & x3 < x4 => x1 < x4
gx_ltchain5                | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 => x1 < x5
gx_ltchain6                | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 => x1 < x6
gx_ltchain7                | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 => x1 < x7
gx_ltchain8                | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 & x7 < x8 => x1 < x8
gx_ltchain9                | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 & x7 < x8 & x8 < x9 => x1 < x9
gx_ltchain10               | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 & x7 < x8 & x8 < x9 & x9 < x10 => x1 < x10
gx_ltchain11               | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 & x7 < x8 & x8 < x9 & x9 < x10 & x10 < x11 => x1 < x11
gx_ltchain12               | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 & x7 < x8 & x8 < x9 & x9 < x10 & x10 < x11 & x11 < x12 => x1 < x12
gx_ltchain13               | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 & x7 < x8 & x8 < x9 & x9 < x10 & x10 < x11 & x11 < x12 & x12 < x13 => x1 < x13
gx_ltchain14               | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 & x7 < x8 & x8 < x9 & x9 < x10 & x10 < x11 & x11 < x12 & x12 < x13 & x13 < x14 => x1 < x14
gx_ltchain15               | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 & x7 < x8 & x8 < x9 & x9 < x10 & x10 < x11 & x11 < x12 & x12 < x13 & x13 < x14 & x14 < x15 => x1 < x15
gx_ltchain16               | expr | x1 < x2 & x2 < x3 & x3 < x4 & x4 < x5 & x5 < x6 & x6 < x7 & x7 < x8 & x8 < x9 & x9 < x10 & x10 < x11 & x11 < x12 & x12 < x13 & x13 < x14 & x14 < x15 & x15 < x16 => x1 < x16
gx_mixchain3               | expr | x1 < x2 & x2 <= x3 => x1 < x3
gx_mixchain4               | expr | x1 < x2 & x2 <= x3 & x3 < x4 => x1 < x4
gx_mixchain5               | expr | x1 < x2 & x2 <= x3 & x3 < x4 & x4 <= x5 => x1 < x5
gx_mixchain6               | expr | x1 < x2 & x2 <= x3 & x3 < x4 & x4 <= x5 & x5 < x6 => x1 < x6
gx_mixchain7               | expr | x1 < x2 & x2 <= x3 & x3 < x4 & x4 <= x5 & x5 < x6 & x6 <= x7 => x1 < x7
gx_mixchain8               | expr | x1 < x2 & x2 <= x3 & x3 < x4 & x4 <= x5 & x5 < x6 & x6 <= x7 & x7 < x8 => x1 < x8
gx_mixchain9               | expr | x1 < x2 & x2 <= x3 & x3 < x4 & x4 <= x5 & x5 < x6 & x6 <= x7 & x7 < x8 & x8 <= x9 => x1 < x9
gx_mixchain10              | expr | x1 < x2 & x2 <= x3 & x3 < x4 & x4 <= x5 & x5 < x6 & x6 <= x7 & x7 < x8 & x8 <= x9 & x9 < x10 => x1 < x10
gx_mixchain11              | expr | x1 < x2 & x2 <= x3 & x3 < x4 & x4 <= x5 & x5 < x6 & x6 <= x7 & x7 < x8 & x8 <= x9 & x9 < x10 & x10 <= x11 => x1 < x11
gx_mixchain12              | expr | x1 < x2 & x2 <= x3 & x3 < x4 & x4 <= x5 & x5 < x6 & x6 <= x7 & x7 < x8 & x8 <= x9 & x9 < x10 & x10 <= x11 & x11 < x12 => x1 < x12
gx_sumpos3                 | expr | 0 <= x1 & 0 <= x2 & 0 <= x3 => 0 <= x1 + x2 + x3
gx_sumpos4                 | expr | 0 <= x1 & 0 <= x2 & 0 <= x3 & 0 <= x4 => 0 <= x1 + x2 + x3 + x4
gx_sumpos5                 | expr | 0 <= x1 & 0 <= x2 & 0 <= x3 & 0 <= x4 & 0 <= x5 => 0 <= x1 + x2 + x3 + x4 + x5
gx_sumpos6                 | expr | 0 <= x1 & 0 <= x2 & 0 <= x3 & 0 <= x4 & 0 <= x5 & 0 <= x6 => 0 <= x1 + x2 + x3 + x4 + x5 + x6
gx_sumpos7                 | expr | 0 <= x1 & 0 <= x2 & 0 <= x3 & 0 <= x4 & 0 <= x5 & 0 <= x6 & 0 <= x7 => 0 <= x1 + x2 + x3 + x4 + x5 + x6 + x7
gx_qinst1                  | expr | !x.(x: s => x: t) & a: s => a: t
gx_qchain2                 | expr | !x.(x: s1 => x: s2) & a: s1 => a: s2
gx_qchain3                 | expr | !x.(x: s1 => x: s2) & !x.(x: s2 => x: s3) & a: s1 => a: s3
gx_qchain4                 | expr | !x.(x: s1 => x: s2) & !x.(x: s2 => x: s3) & !x.(x: s3 => x: s4) & a: s1 => a: s4
gx_qchain5                 | expr | !x.(x: s1 => x: s2) & !x.(x: s2 => x: s3) & !x.(x: s3 => x: s4) & !x.(x: s4 => x: s5) & a: s1 => a: s5
gx_qchain6                 | expr | !x.(x: s1 => x: s2) & !x.(x: s2 => x: s3) & !x.(x: s3 => x: s4) & !x.(x: s4 => x: s5) & !x.(x: s5 => x: s6) & a: s1 => a: s6
gx_qchain7                 | expr | !x.(x: s1 => x: s2) & !x.(x: s2 => x: s3) & !x.(x: s3 => x: s4) & !x.(x: s4 => x: s5) & !x.(x: s5 => x: s6) & !x.(x: s6 => x: s7) & a: s1 => a: s7
gx_qchain8                 | expr | !x.(x: s1 => x: s2) & !x.(x: s2 => x: s3) & !x.(x: s3 => x: s4) & !x.(x: s4 => x: s5) & !x.(x: s5 => x: s6) & !x.(x: s6 => x: s7) & !x.(x: s7 => x: s8) & a: s1 => a: s8

# ════════════════════════════════════════════════════════════════════════
# GXC. Coverage probes — shapes aimed at rules the suite never fired, adapted
#      from og/prv/apero triggers (negated quantifiers → ALL1/2, XST1/2;
#      VRAI/FAUX → FX1/2; BOOL split; reversed/commuted equality → OPR/EQC/ECTR;
#      vacuous binders → NRM).  Probes: non-theorems here get pruned at gen.
# ════════════════════════════════════════════════════════════════════════
# negated-universal goal (→ ALL2): inner body is a contradiction, so the
# universal is false and its negation is the theorem.
gxc_nall_self        | expr | not(!x.(not(x = x)))
gxc_nall_self2       | expr | not(!x.!y.(not(x = x)))
gxc_nall_mem         | expr | not(!x.(x: s & not(x: s)))
gxc_nall_pred        | expr | not(!x.(p(x) & not(p(x))))
gxc_nall_le          | expr | not(!x.(x <= x => not(x <= x)))
# negated-universal hypothesis (→ ALL1): tautological consequent keeps it provable
gxc_nall_h1          | prop | not(!x.!y.(x = y)) => p or not(p)
gxc_nall_h2          | expr | not(!x.(x = x)) => (q => q)
gxc_nall_h3          | expr | not(!x.(x: s)) => p or not(p)
gxc_nall_h4          | expr | not(!x.!y.(x: s)) => (a = a)
# negated-existential goal (→ XST2): no witness can satisfy a contradiction
gxc_nxst_self        | expr | not(#x.(not(x = x)))
gxc_nxst_mem         | expr | not(#x.(x: s & not(x: s)))
gxc_nxst_pred        | expr | not(#x.(p(x) & not(p(x))))
gxc_nxst_two         | expr | not(#x.#y.(p(x,y) & not(p(x,y))))
gxc_nxst_le          | expr | not(#x.(x < x))
# negated-existential hypothesis (→ XST1)
gxc_nxst_h1          | expr | not(#x.(x = x)) => p or not(p)
gxc_nxst_h2          | expr | not(#x.(x: s)) => (q => q)
gxc_nxst_h3          | expr | not(#x.#y.(p(x,y))) => (a = a)
# VRAI / FAUX literals (→ FX1/FX2/VR2/VR3)
gxc_fx_nfaux         | prop | not(FAUX)
gxc_fx_nfaux_vrai    | prop | not(FAUX) => VRAI
gxc_fx_vrai          | prop | VRAI
gxc_fx_faux_any      | prop | FAUX => p
gxc_fx_faux_mem      | expr | FAUX => x: s
gxc_fx_vrai_and      | prop | VRAI & p => p
gxc_fx_or_vrai       | prop | p or VRAI
gxc_fx_nfaux_or      | prop | not(FAUX) or p
# boolean case analysis (→ BOOL*): x ranges over BOOL
gxc_bool_split       | expr | x: BOOL => x = TRUE or x = FALSE
gxc_bool_not_true    | expr | x: BOOL & not(x = TRUE) => x = FALSE
gxc_bool_not_false   | expr | x: BOOL & not(x = FALSE) => x = TRUE
gxc_bool_true_mem    | expr | TRUE: BOOL
gxc_bool_false_mem   | expr | FALSE: BOOL
gxc_bool_from_eq     | expr | x = TRUE => x: BOOL
gxc_bool_neq         | expr | x: BOOL & y: BOOL & not(x = y) & not(x = TRUE) => y = TRUE
# reversed / commuted equality (→ OPR1/OPR2, EQC1/EQC2, EVR11)
gxc_eq_rev           | expr | a = b => b = a
gxc_eq_rev_app       | expr | f(x) = y => y = f(x)
gxc_eq_rev_chain     | expr | a = b & b = c => c = a
gxc_eq_rev_two       | expr | a = b & c = d => b = a & d = c
gxc_eq_rev_mem       | expr | a = b & a: s => b: s
gxc_eq_commute_h     | expr | b = a & a: s => b: s
# equality contradiction (→ ECTR1/ECTR5)
gxc_ectr_rev         | expr | a = b & not(b = a) => bfalse
gxc_ectr_chain       | expr | a = b & b = c & not(c = a) => bfalse
gxc_ectr_app         | expr | f(x) = y & not(y = f(x)) => bfalse
gxc_ectr_sym2        | expr | a = b & c = a & not(c = b) => bfalse
# vacuous / constant binders (→ NRM16-18, NRM4/8/9/11)
gxc_nrm_vac_all      | expr | !x.(a = a)
gxc_nrm_vac_all2     | expr | !x.!y.(a = a)
gxc_nrm_vac_mem      | expr | !x.(a: s) => a: s
gxc_nrm_vac_const    | expr | a: s => !x.(a: s)
gxc_nrm_const_imp    | expr | p => !x.(p)
# arithmetic identities (→ AR3/AR9/AR10/AR13)
gxc_ar_self_le       | expr | !x.(x <= x)
gxc_ar_eq_self       | expr | !x.(x = x)
gxc_ar_zero_le       | expr | !x.(0 <= x => 0 <= x)
gxc_ar_succ_lt       | expr | !x.(x < x + 1)
# truth rules (→ VR2/VR3)
gxc_vr2_nfvrai       | prop | FAUX => not(VRAI)
gxc_vr3_passthru     | prop | VRAI => (p or not(p))
gxc_vr3_self         | prop | VRAI => VRAI
# boolean equality antecedent — every orientation (→ BOOL11..52)
gxc_bool31           | expr | x: BOOL & not(x = TRUE) => x = FALSE
gxc_bool32           | expr | x: BOOL & not(x = FALSE) => x = TRUE
gxc_bool41           | expr | x: BOOL & not(TRUE = x) => x = FALSE
gxc_bool42           | expr | x: BOOL & not(FALSE = x) => x = TRUE
gxc_bool51           | prop | TRUE = FALSE => p
gxc_bool52           | prop | FALSE = TRUE => p
# equality-prover special shapes (→ EVR2/EVR11/EAXM2/EIMP51/EIMP52)
gxc_evr2_exfalso     | expr | FAUX => not(x = x)
gxc_evr11_lit        | expr | 1 = 2 => p
gxc_evr11_lit2       | expr | 3 = 5 => x: s
gxc_eaxm2            | expr | a = b => (not(b = a) => p)
gxc_eimp51           | expr | not(b = a) => (not(a = b) => (p or not(p)))
gxc_eimp52           | expr | b = a => (a = b => (p or not(p)))
# pair-equality decomposition (→ EQC1/EQC2)
gxc_eqc2             | expr | (a, b) = (c, d) => a = c
gxc_eqc2b            | expr | (a, b) = (c, d) => b = d
gxc_eqc1             | expr | not((a, b) = (c, d)) => (not(a = c) or not(b = d))
# equality-rewrite contradiction (→ ECTR1/ECTR5)
gxc_ectr1            | expr | b: s & not(a: s) => (a = b => bfalse)

# ════════════════════════════════════════════════════════════════════════
# GXF. Frontier probes — bare theorems over under-exercised B constructs
#      (relation inverse/composition/dom/ran/image/override/restriction,
#      function arrows, cardinality/finiteness, intervals, multiplication/
#      power/div/mod, min/max/SIGMA, comprehension/lambda, POW1, generalized
#      union/inter).  Intent: surface emit/translate/check failures.
# ════════════════════════════════════════════════════════════════════════
# ── relations: inverse (~) ──
gxf_inv_mem          | expr | (a, b): r => (b, a): r~
gxf_inv_back         | expr | (b, a): r~ => (a, b): r
gxf_inv_invol        | expr | (a, b): r => (a, b): r~~
gxf_inv_dom_ran      | expr | a: dom(r) => a: ran(r~)
gxf_inv_ran_dom      | expr | b: ran(r) => b: dom(r~)
gxf_inv_eq_ran       | expr | dom(r~) = ran(r)
gxf_inv_comp         | expr | (a, b): r & (b, c): s => (c, a): (r ; s)~
# ── relations: composition (;) ──
gxf_comp_mem         | expr | (a, b): r & (b, c): s => (a, c): (r ; s)
gxf_comp_unfold      | expr | (a, c): (r ; s) => #x.((a, x): r & (x, c): s)
gxf_comp_dom         | expr | (a, c): (r ; s) => a: dom(r)
gxf_comp_assoc_mem   | expr | (a, b): r & (b, c): s & (c, d): q => (a, d): (r ; (s ; q))
# ── relations: dom / ran ──
gxf_dom_mem          | expr | (a, b): r => a: dom(r)
gxf_ran_mem          | expr | (a, b): r => b: ran(r)
gxf_dom_exists       | expr | a: dom(r) => #y.((a, y): r)
gxf_ran_exists       | expr | b: ran(r) => #x.((x, b): r)
gxf_dom_sub          | expr | dom(r) <: s & (a, b): r => a: s
gxf_dom_mono         | expr | r <: s => dom(r) <: dom(s)
gxf_ran_mono         | expr | r <: s => ran(r) <: ran(s)
# ── relations: image r[s] ──
gxf_img_mem          | expr | a: s & (a, b): r => b: r[s]
gxf_img_unfold       | expr | b: r[s] => #x.(x: s & (x, b): r)
gxf_img_mono         | expr | s <: t => r[s] <: r[t]
# ── relations: override (<+) ──
gxf_over_right       | expr | (a, b): s => (a, b): (r <+ s)
gxf_over_dom         | expr | a: dom(r) => a: dom(r <+ s)
# ── relations: restrictions (<| |>) ──
gxf_domr_intro       | expr | a: s & (a, b): r => (a, b): (s <| r)
gxf_domr_elim        | expr | (a, b): (s <| r) => a: s
gxf_domr_elim2       | expr | (a, b): (s <| r) => (a, b): r
gxf_ranr_intro       | expr | (a, b): r & b: s => (a, b): (r |> s)
gxf_ranr_elim        | expr | (a, b): (r |> s) => b: s
# ── functions: arrows & application ──
gxf_pfun_app         | expr | f: s +-> t & a: dom(f) => f(a): t
gxf_tfun_app         | expr | f: s --> t & a: s => f(a): t
gxf_tfun_dom         | expr | f: s --> t => dom(f) = s
gxf_tfun_comp        | expr | f: s --> t & g: t --> u & a: s => g(f(a)): u
gxf_inj_cancel       | expr | f: s >-> t & a: s & b: s & f(a) = f(b) => a = b
gxf_surj_ran         | expr | f: s -->> t => ran(f) = t
gxf_fun_mem_pair     | expr | f: s --> t & a: s => (a, f(a)): f
# ── cardinality & finiteness ──
gxf_fin_empty        | expr | {} : FIN(s)
gxf_fin_single       | expr | x: s => {x}: FIN(s)
# ── intervals (..) ──
gxf_intv_lo          | expr | a: c .. d => c <= a
gxf_intv_hi          | expr | a: c .. d => a <= d
gxf_intv_intro       | expr | c <= a & a <= d => a: c .. d
gxf_intv_iff         | expr | a: c .. d <=> (c <= a & a <= d)
gxf_intv_end_lo      | expr | c <= d => c: c .. d
gxf_intv_end_hi      | expr | c <= d => d: c .. d
gxf_intv_conc        | expr | x: 2 .. 5 => x <= 5
gxf_intv_sub         | expr | a <= b & c <= d & b <= c => a .. b <: a .. d
# ── arithmetic: multiplication ──
gxf_mul_zero_r       | expr | x * 0 = 0
gxf_mul_zero_l       | expr | 0 * x = 0
gxf_mul_one_r        | expr | x * 1 = x
gxf_mul_one_l        | expr | 1 * x = x
gxf_mul_assoc        | expr | (x * y) * z = x * (y * z)
gxf_mul_distrib      | expr | x * (y + z) = x * y + x * z
gxf_mul_two          | expr | 2 * x = x + x
gxf_mul_mono         | expr | 0 <= z & x <= y => x * z <= y * z
# ── arithmetic: power / div / mod ──
gxf_pow_zero         | expr | x ** 0 = 1
gxf_pow_one          | expr | x ** 1 = x
gxf_div_one          | expr | x / 1 = x
gxf_div_self         | expr | 0 < x => x / x = 1
gxf_mod_one          | expr | x mod 1 = 0
gxf_mod_self         | expr | 0 < x => x mod x = 0
# ── arithmetic: concrete computation (literal stress) ──
gxf_lit_add          | expr | 2 + 3 = 5
gxf_lit_mul          | expr | 7 * 6 = 42
gxf_lit_sub          | expr | 100 - 1 = 99
gxf_lit_big          | expr | 1000 + 2000 = 3000
gxf_lit_leq          | expr | 5 <= 12
gxf_lit_chain        | expr | x + 5 <= x + 7
# ── arithmetic: min / max / SIGMA ──
gxf_max_mem          | expr | s: FIN1(t) & x: s => x <= max(s)
gxf_min_mem          | expr | s: FIN1(t) & x: s => min(s) <= x
gxf_max_single       | expr | max({x}) = x
gxf_min_single       | expr | min({x}) = x
# ── set comprehension / lambda ──
gxf_lam_app          | expr | x: s => (%y.(y: s | y))(x) = x
# ── power set variants ──
gxf_pow1_sub         | expr | s: POW1(t) => s <: t
gxf_pow1_ne          | expr | s: POW1(t) => not(s = {})
gxf_pow_empty        | expr | {} : POW(s)
gxf_pow_self         | expr | s: POW(s)
gxf_pow_mono         | expr | s <: t => POW(s) <: POW(t)
# ── generalized union / inter ──
gxf_gunion_mem       | expr | s: S & x: s => x: union(S)
gxf_ginter_mem       | expr | s: S & x: inter(S) => x: s

# ════════════════════════════════════════════════════════════════════════
# GXR/GXH. Red amplifier + new-code hunters — size-sweeps of the frontier
#      (failing) families (function/relation-composition chains → FIN_INS,
#      set-equality → EQS2, arith coefficients → Farkas, monotonicity → INS)
#      plus probes aimed at not-yet-hit codes (E_TREE_BUILD via truncation-prone
#      boolean/quantifier shapes, E_PARSE via division/mod/product).  Bare
#      theorems; intent is to surface failures, not pass.
# ════════════════════════════════════════════════════════════════════════
gxr_fchain2                  | expr | f1: s0 --> s1 & f2: s1 --> s2 & a: s0 => f2(f1(a)): s2
gxr_fchain3                  | expr | f1: s0 --> s1 & f2: s1 --> s2 & f3: s2 --> s3 & a: s0 => f3(f2(f1(a))): s3
gxr_fchain4                  | expr | f1: s0 --> s1 & f2: s1 --> s2 & f3: s2 --> s3 & f4: s3 --> s4 & a: s0 => f4(f3(f2(f1(a)))): s4
gxr_rchain2                  | expr | (x0, x1): r1 & (x1, x2): r2 => (x0, x2): (r1 ; r2)
gxr_rchain3                  | expr | (x0, x1): r1 & (x1, x2): r2 & (x2, x3): r3 => (x0, x3): ((r1 ; r2) ; r3)
gxr_rchain4                  | expr | (x0, x1): r1 & (x1, x2): r2 & (x2, x3): r3 & (x3, x4): r4 => (x0, x4): (((r1 ; r2) ; r3) ; r4)
gxr_rchain5                  | expr | (x0, x1): r1 & (x1, x2): r2 & (x2, x3): r3 & (x3, x4): r4 & (x4, x5): r5 => (x0, x5): ((((r1 ; r2) ; r3) ; r4) ; r5)
gxr_rchain6                  | expr | (x0, x1): r1 & (x1, x2): r2 & (x2, x3): r3 & (x3, x4): r4 & (x4, x5): r5 & (x5, x6): r6 => (x0, x6): (((((r1 ; r2) ; r3) ; r4) ; r5) ; r6)
gxr_rchain7                  | expr | (x0, x1): r1 & (x1, x2): r2 & (x2, x3): r3 & (x3, x4): r4 & (x4, x5): r5 & (x5, x6): r6 & (x6, x7): r7 => (x0, x7): ((((((r1 ; r2) ; r3) ; r4) ; r5) ; r6) ; r7)
gxr_rchain8                  | expr | (x0, x1): r1 & (x1, x2): r2 & (x2, x3): r3 & (x3, x4): r4 & (x4, x5): r5 & (x5, x6): r6 & (x6, x7): r7 & (x7, x8): r8 => (x0, x8): (((((((r1 ; r2) ; r3) ; r4) ; r5) ; r6) ; r7) ; r8)
gxr_rchain9                  | expr | (x0, x1): r1 & (x1, x2): r2 & (x2, x3): r3 & (x3, x4): r4 & (x4, x5): r5 & (x5, x6): r6 & (x6, x7): r7 & (x7, x8): r8 & (x8, x9): r9 => (x0, x9): ((((((((r1 ; r2) ; r3) ; r4) ; r5) ; r6) ; r7) ; r8) ; r9)
gxr_rchain10                 | expr | (x0, x1): r1 & (x1, x2): r2 & (x2, x3): r3 & (x3, x4): r4 & (x4, x5): r5 & (x5, x6): r6 & (x6, x7): r7 & (x7, x8): r8 & (x8, x9): r9 & (x9, x10): r10 => (x0, x10): (((((((((r1 ; r2) ; r3) ; r4) ; r5) ; r6) ; r7) ; r8) ; r9) ; r10)
gxr_union_comm               | expr | s \/ t = t \/ s
gxr_inter_comm               | expr | s /\ t = t /\ s
gxr_union_idem               | expr | s \/ s = s
gxr_inter_idem               | expr | s /\ s = s
gxr_union_assoc              | expr | (s \/ t) \/ u = s \/ (t \/ u)
gxr_inter_assoc              | expr | (s /\ t) /\ u = s /\ (t /\ u)
gxr_union_empty              | expr | s \/ {} = s
gxr_inter_empty              | expr | s /\ {} = {}
gxr_distrib_set              | expr | s /\ (t \/ u) = (s /\ t) \/ (s /\ u)
gxr_demorgan_set             | expr | s \/ (t /\ u) = (s \/ t) /\ (s \/ u)
gxr_unioncomm3               | expr | s1 \/ s2 \/ s3 = s3 \/ s2 \/ s1
gxr_intercomm3               | expr | s1 /\ s2 /\ s3 = s3 /\ s2 /\ s1
gxr_unioncomm4               | expr | s1 \/ s2 \/ s3 \/ s4 = s4 \/ s3 \/ s2 \/ s1
gxr_intercomm4               | expr | s1 /\ s2 /\ s3 /\ s4 = s4 /\ s3 /\ s2 /\ s1
gxr_unioncomm5               | expr | s1 \/ s2 \/ s3 \/ s4 \/ s5 = s5 \/ s4 \/ s3 \/ s2 \/ s1
gxr_intercomm5               | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 = s5 /\ s4 /\ s3 /\ s2 /\ s1
gxr_unioncomm6               | expr | s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 = s6 \/ s5 \/ s4 \/ s3 \/ s2 \/ s1
gxr_intercomm6               | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 = s6 /\ s5 /\ s4 /\ s3 /\ s2 /\ s1
gxr_unioncomm7               | expr | s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 = s7 \/ s6 \/ s5 \/ s4 \/ s3 \/ s2 \/ s1
gxr_intercomm7               | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 = s7 /\ s6 /\ s5 /\ s4 /\ s3 /\ s2 /\ s1
gxr_unioncomm8               | expr | s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 = s8 \/ s7 \/ s6 \/ s5 \/ s4 \/ s3 \/ s2 \/ s1
gxr_intercomm8               | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 = s8 /\ s7 /\ s6 /\ s5 /\ s4 /\ s3 /\ s2 /\ s1
gxr_unioncomm9               | expr | s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 = s9 \/ s8 \/ s7 \/ s6 \/ s5 \/ s4 \/ s3 \/ s2 \/ s1
gxr_intercomm9               | expr | s1 /\ s2 /\ s3 /\ s4 /\ s5 /\ s6 /\ s7 /\ s8 /\ s9 = s9 /\ s8 /\ s7 /\ s6 /\ s5 /\ s4 /\ s3 /\ s2 /\ s1
gxr_unioncomm10              | expr | s1 \/ s2 \/ s3 \/ s4 \/ s5 \/ s6 \/ s7 \/ s8 \/ s9 \/ s10 = s10 \/ s9 \/ s8 \/ s7 \/ s6 \/ s5 \/ s4 \/ s3 \/ s2 \/ s1
